path,label
data/1/img_25376.jpg,1
data/1/img_41130.jpg,1
data/1/img_13987.jpg,1
data/0/img_39257.jpg,0
data/1/img_8848.jpg,1
data/1/img_24742.jpg,1
data/0/img_31783.jpg,0
data/0/img_22592.jpg,0
data/1/img_12689.jpg,1
data/0/img_39231.jpg,0
data/1/img_14060.jpg,1
data/0/img_4965.jpg,0
data/1/img_26608.jpg,1
data/0/img_13319.jpg,0
data/0/img_12634.jpg,0
data/1/img_27274.jpg,1
data/1/img_32898.jpg,1
data/1/img_38246.jpg,1
data/0/img_38953.jpg,0
data/1/img_31481.jpg,1
data/1/img_39255.jpg,1
data/1/img_32497.jpg,1
data/0/img_37268.jpg,0
data/1/img_19496.jpg,1
data/1/img_21435.jpg,1
data/1/img_36827.jpg,1
data/1/img_17529.jpg,1
data/1/img_8419.jpg,1
data/0/img_18969.jpg,0
data/1/img_8590.jpg,1
data/1/img_20821.jpg,1
data/1/img_5123.jpg,1
data/0/img_27855.jpg,0
data/0/img_2796.jpg,0
data/1/img_3107.jpg,1
data/1/img_3423.jpg,1
data/1/img_41292.jpg,1
data/1/img_13581.jpg,1
data/1/img_7708.jpg,1
data/1/img_11312.jpg,1
data/1/img_12274.jpg,1
data/1/img_16158.jpg,1
data/0/img_34415.jpg,0
data/1/img_23269.jpg,1
data/1/img_17474.jpg,1
data/1/img_32068.jpg,1
data/1/img_10529.jpg,1
data/0/img_22411.jpg,0
data/1/img_32727.jpg,1
data/0/img_7715.jpg,0
data/0/img_29731.jpg,0
data/1/img_35331.jpg,1
data/0/img_37396.jpg,0
data/0/img_1135.jpg,0
data/1/img_38440.jpg,1
data/0/img_20024.jpg,0
data/1/img_27108.jpg,1
data/1/img_10202.jpg,1
data/1/img_22653.jpg,1
data/1/img_11018.jpg,1
data/0/img_141.jpg,0
data/0/img_7495.jpg,0
data/0/img_23818.jpg,0
data/0/img_13690.jpg,0
data/1/img_2735.jpg,1
data/1/img_28143.jpg,1
data/0/img_35486.jpg,0
data/0/img_41626.jpg,0
data/0/img_40997.jpg,0
data/1/img_1398.jpg,1
data/0/img_12948.jpg,0
data/1/img_18353.jpg,1
data/1/img_41501.jpg,1
data/1/img_11972.jpg,1
data/0/img_39146.jpg,0
data/0/img_32594.jpg,0
data/1/img_24933.jpg,1
data/0/img_31657.jpg,0
data/1/img_21265.jpg,1
data/1/img_40121.jpg,1
data/0/img_15166.jpg,0
data/1/img_5005.jpg,1
data/1/img_14783.jpg,1
data/0/img_1902.jpg,0
data/0/img_7706.jpg,0
data/1/img_29620.jpg,1
data/0/img_22350.jpg,0
data/0/img_31522.jpg,0
data/1/img_5545.jpg,1
data/0/img_38468.jpg,0
data/0/img_19964.jpg,0
data/1/img_22490.jpg,1
